time,OptaPlanner,RL
0,14182375500,4808217185
30,6884753469,3989039583
60,4526595660,3421706269
90,3583731326,3049746279
120,3092624741,2797111239
150,2789581440,2622970401
180,2605820437,2487522845
210,2484868764,2393481750
240,2395681805,2321649641
270,2334812226,2266600706
300,2288401032,2220767420
330,2251435018,2186356745
360,2221013484,2158246929
390,2195744174,2134718069
420,2176244996,2117814063
450,2160582247,2101977268
480,2147452975,2087159073
510,2136726327,2075521472
540,2126958893,2064935502
570,2117967258,2057198569
600,2110330489,2047918206
